County_Name,Rural_Status,State_FIPS,County_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Edgecombe,Rural,37,065,37065,16545,79.5,13844,66.6
Forsyth,Urban,37,067,37067,137605,92.4,125066,84.0
Gaston,Regional City and Suburban,37,071,37071,76347,89.5,70975,83.2
Gates,Rural,37,073,37073,4000,85.3,3469,74.0
Granville,Rural,37,077,37077,19703,91.4,18073,83.8
Greene,Rural,37,079,37079,6220,86.2,5385,74.6
Halifax,Rural,37,083,37083,16924,80.4,12244,58.1
Harnett,Rural,37,085,37085,42661,91.7,37681,81.0
Henderson,Regional City and Suburban,37,089,37089,45323,91.2,42180,84.8
Hertford,Rural,37,091,37091,7304,82.0,6288,70.6
Hoke,Rural,37,093,37093,16202,87.8,15343,83.2
Iredell,Regional City and Suburban,37,097,37097,62781,91.8,59585,87.1
Jackson,Rural,37,099,37099,15170,89.2,12364,72.7
Jones,Rural,37,103,37103,3270,80.4,2629,64.6
Lee,Rural,37,105,37105,19927,89.4,16698,74.9
Lincoln,Regional City and Suburban,37,109,37109,29944,89.1,28486,84.7
McDowell,Rural,37,111,37111,15967,87.4,14025,76.7
Madison,Rural,37,115,37115,6848,81.8,6060,72.4
Martin,Rural,37,117,37117,8173,84.9,6934,72.1
Mitchell,Rural,37,121,37121,5315,83.0,4871,76.1
Montgomery,Rural,37,123,37123,8480,82.6,7296,71.1
Moore,Rural,37,125,37125,36542,90.1,34264,84.4
Nash,Rural,37,127,37127,32762,87.7,29686,79.4
New Hanover,Urban,37,129,37129,92420,94.3,85767,87.5
Northampton,Rural,37,131,37131,6484,77.0,4601,54.6
Onslow,Regional City and Suburban,37,133,37133,62874,95.1,59333,89.7
Orange,Regional City and Suburban,37,135,37135,50570,95.0,47616,89.5
Pamlico,Rural,37,137,37137,4749,86.3,4297,78.0
Pasquotank,Rural,37,139,37139,13000,87.9,12094,81.8
Pender,Rural,37,141,37141,20989,92.0,18723,82.1
Perquimans,Rural,37,143,37143,5076,86.2,4582,77.8
Person,Rural,37,145,37145,14414,89.2,13016,80.6
Pitt,Regional City and Suburban,37,147,37147,63957,90.5,59244,83.8
Polk,Rural,37,149,37149,8296,89.7,7311,79.0
Randolph,Rural,37,151,37151,50320,88.6,45730,80.5
Richmond,Rural,37,153,37153,15371,84.5,13966,76.7
Robeson,Rural,37,155,37155,37991,82.8,28886,63.0
Rockingham,Rural,37,157,37157,31437,81.6,27811,72.2
Rowan,Regional City and Suburban,37,159,37159,47918,88.5,45136,83.4
Rutherford,Rural,37,161,37161,23305,84.7,20531,74.6
Sampson,Rural,37,163,37163,19921,86.0,16749,72.3
Scotland,Rural,37,165,37165,10355,80.0,8759,67.6
Stokes,Rural,37,169,37169,16484,84.1,14475,73.8
Surry,Rural,37,171,37171,24208,83.5,19930,68.7
Transylvania,Rural,37,175,37175,13213,90.2,12285,83.9
Tyrrell,Rural,37,177,37177,1355,82.0,1094,66.2
Vance,Rural,37,181,37181,14321,84.8,12580,74.5
Wake,Urban,37,183,37183,397185,96.7,382287,93.1
Washington,Rural,37,187,37187,3812,72.8,3438,65.6
Watauga,Rural,37,189,37189,19564,91.2,18109,84.4
Wilkes,Rural,37,193,37193,24956,86.3,22996,79.6
Wilson,Rural,37,195,37195,26458,82.8,24419,76.4
Yancey,Rural,37,199,37199,6153,82.4,5647,75.6
